# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_start_retained_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
LOC17896742	gene-LOC17896742	XM_006303435.2	protein_coding	0	0	0	254	0	0	0	0	0	0	0	134	0	0	0	0	33	0	0	0	0	0	0	0	0	0	87
LOC17896756	gene-LOC17896756	XM_006306407.2	protein_coding	0	0	0	347	0	0	0	0	0	0	0	147	0	0	0	0	56	0	0	0	0	0	0	0	0	0	144
LOC17896762	gene-LOC17896762	XM_006304704.2	protein_coding	0	0	0	389	0	0	0	0	0	0	0	157	0	0	0	0	45	0	0	0	0	0	0	0	0	0	187
LOC17896810	gene-LOC17896810	XM_006305979.2	protein_coding	0	0	0	9	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17896820	gene-LOC17896820	XM_006306495.2	protein_coding	0	0	0	296	0	0	0	0	0	0	0	97	0	0	0	0	36	0	0	0	0	0	0	0	0	0	163
LOC17896831	gene-LOC17896831	XM_023789399.1	protein_coding	0	0	0	238	0	0	0	0	0	0	0	93	0	0	0	0	118	0	0	0	0	0	0	0	0	0	27
LOC17896832	gene-LOC17896832	XM_006307436.2	protein_coding	0	0	0	140	0	0	0	0	0	0	0	59	0	0	0	0	38	0	0	0	0	0	0	0	0	0	43
LOC17896832	gene-LOC17896832	XM_023777086.1	protein_coding	0	0	0	136	0	0	0	0	0	0	0	59	0	0	0	0	33	0	0	0	0	0	0	0	0	0	44
LOC17896836	gene-LOC17896836	XM_006304722.2	protein_coding	0	0	0	260	0	0	0	0	0	0	0	112	0	0	0	0	23	0	0	0	0	0	0	0	0	0	125
LOC17896846	gene-LOC17896846	XM_006306088.2	protein_coding	0	0	0	215	0	0	0	0	0	0	0	145	0	0	0	0	26	0	0	0	0	0	0	0	0	0	44
LOC17896847	gene-LOC17896847	XM_006306939.2	protein_coding	0	0	0	287	0	0	0	0	0	0	0	177	0	0	0	0	48	0	0	0	0	0	0	0	0	0	62
LOC17896860	gene-LOC17896860	XM_006307181.2	protein_coding	0	0	0	403	0	0	0	0	0	0	0	158	0	0	0	0	84	0	0	0	0	0	0	0	0	0	161
LOC17896890	gene-LOC17896890	XM_006305768.2	protein_coding	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
LOC17896894	gene-LOC17896894	XM_006304364.2	protein_coding	0	0	0	263	0	0	0	0	0	0	0	107	0	0	0	0	10	0	0	0	0	0	0	0	0	0	146
LOC17896918	gene-LOC17896918	XM_006306130.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17896918	gene-LOC17896918	XM_023777123.1	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC17896926	gene-LOC17896926	XM_006303345.2	protein_coding	0	0	0	291	0	0	0	0	0	0	0	68	0	0	0	0	79	0	0	0	0	0	0	0	0	0	144
LOC17896926	gene-LOC17896926	XM_023790057.1	protein_coding	0	0	0	287	0	0	0	0	0	0	0	68	0	0	0	0	66	0	0	0	0	0	0	0	0	0	153
LOC17896931	gene-LOC17896931	XM_023777071.1	protein_coding	0	0	0	336	0	0	0	0	0	0	0	137	0	0	0	0	93	0	0	0	0	0	0	0	0	0	106
LOC17896952	gene-LOC17896952	XM_006304564.2	protein_coding	0	0	0	333	0	0	0	0	0	0	0	121	0	0	0	0	50	0	0	0	0	0	0	0	0	0	162
LOC17896952	gene-LOC17896952	XM_023788693.1	protein_coding	0	0	0	333	0	0	0	0	0	0	0	121	0	0	0	0	50	0	0	0	0	0	0	0	0	0	162
LOC17896973	gene-LOC17896973	XM_023789567.1	protein_coding	0	0	0	324	0	0	0	0	0	0	0	141	0	0	0	0	63	0	0	0	0	0	0	0	0	0	120
LOC17896973	gene-LOC17896973	XM_023789568.1	protein_coding	0	0	0	320	0	0	0	0	0	0	0	145	0	0	0	0	55	0	0	0	0	0	0	0	0	0	120
LOC17896973	gene-LOC17896973	XM_023789569.1	protein_coding	0	0	0	298	0	0	0	0	0	0	0	139	0	0	0	0	39	0	0	0	0	0	0	0	0	0	120
LOC17897004	gene-LOC17897004	XM_006307304.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17897011	gene-LOC17897011	XM_006306713.2	protein_coding	0	0	0	407	0	0	0	0	0	0	0	186	0	0	0	0	86	0	0	0	0	0	0	0	0	0	135
LOC17897020	gene-LOC17897020	XM_006304530.2	protein_coding	0	0	0	346	0	0	0	0	0	0	0	138	0	0	0	0	79	0	0	0	0	0	0	0	0	0	129
LOC17897041	gene-LOC17897041	XM_006303122.2	protein_coding	0	0	0	396	0	0	0	0	0	0	0	183	0	0	0	0	52	0	0	0	0	0	0	0	0	0	161
LOC17897102	gene-LOC17897102	XM_006305311.2	protein_coding	0	0	0	340	0	0	0	0	0	0	0	161	0	0	0	0	42	0	0	0	0	0	0	0	0	0	137
LOC17897110	gene-LOC17897110	XM_006304232.2	protein_coding	0	0	0	275	0	0	0	0	0	0	0	110	0	0	0	0	30	0	0	0	0	0	0	0	0	0	135
LOC17897149	gene-LOC17897149	XM_006303932.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17897162	gene-LOC17897162	XM_023789762.1	protein_coding	0	0	0	279	0	0	0	0	0	0	0	116	0	0	0	0	56	0	0	0	0	0	0	0	0	0	107
LOC17897162	gene-LOC17897162	XM_023789763.1	protein_coding	0	0	0	279	0	0	0	0	0	0	0	116	0	0	0	0	56	0	0	0	0	0	0	0	0	0	107
LOC17897174	gene-LOC17897174	XM_006307556.2	protein_coding	0	0	0	239	0	0	0	0	0	0	0	37	0	0	0	0	43	0	0	0	0	0	0	0	0	0	159
LOC17897251	gene-LOC17897251	XM_006306135.2	protein_coding	0	0	0	202	0	0	0	0	0	0	0	116	0	0	0	0	32	0	0	0	0	0	0	0	0	0	54
LOC17897252	gene-LOC17897252	XM_006305376.2	protein_coding	0	0	0	201	0	0	0	0	0	0	0	81	0	0	0	0	20	0	0	0	0	0	0	0	0	0	100
LOC17897259	gene-LOC17897259	XM_006306924.2	protein_coding	0	0	0	330	0	0	0	0	0	0	0	176	0	0	0	0	74	0	0	0	0	0	0	0	0	0	80
LOC17897259	gene-LOC17897259	XM_023789907.1	protein_coding	0	0	0	330	0	0	0	0	0	0	0	176	0	0	0	0	74	0	0	0	0	0	0	0	0	0	80
LOC17897264	gene-LOC17897264	XM_006304674.2	protein_coding	0	0	0	174	0	0	0	0	0	0	0	44	0	0	0	0	91	0	0	0	0	0	0	0	0	0	39
LOC17897264	gene-LOC17897264	XM_023789868.1	protein_coding	0	0	0	174	0	0	0	0	0	0	0	44	0	0	0	0	91	0	0	0	0	0	0	0	0	0	39
LOC17897264	gene-LOC17897264	XM_023789869.1	protein_coding	0	0	0	174	0	0	0	0	0	0	0	44	0	0	0	0	91	0	0	0	0	0	0	0	0	0	39
LOC17897264	gene-LOC17897264	XM_023789870.1	protein_coding	0	0	0	174	0	0	0	0	0	0	0	44	0	0	0	0	91	0	0	0	0	0	0	0	0	0	39
LOC17897276	gene-LOC17897276	XM_006304051.2	protein_coding	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
LOC17897279	gene-LOC17897279	XM_023789908.1	protein_coding	0	0	0	30	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17897327	gene-LOC17897327	XM_006304918.2	protein_coding	0	0	0	403	0	0	0	0	0	0	0	95	0	0	0	0	147	0	0	0	0	0	0	0	0	0	161
LOC17897327	gene-LOC17897327	XM_023789472.1	protein_coding	0	0	0	403	0	0	0	0	0	0	0	95	0	0	0	0	147	0	0	0	0	0	0	0	0	0	161
LOC17897352	gene-LOC17897352	XM_006306732.2	protein_coding	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
LOC17897359	gene-LOC17897359	XM_006305199.2	protein_coding	0	0	0	254	0	0	0	0	0	0	0	115	0	0	0	0	44	0	0	0	0	0	0	0	0	0	95
LOC17897369	LOC17897369	gene-LOC17897369	pseudogene	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17897382	gene-LOC17897382	XM_006303853.2	protein_coding	0	0	0	353	0	0	0	0	0	0	0	66	0	0	0	0	133	0	0	0	0	0	0	0	0	0	154
LOC17897383	gene-LOC17897383	XM_006303586.2	protein_coding	0	0	0	292	0	0	0	0	0	0	0	87	0	0	0	0	55	0	0	0	0	0	0	0	0	0	150
LOC17897398	gene-LOC17897398	XM_006305417.2	protein_coding	0	0	0	200	0	0	0	0	0	0	0	44	0	0	0	0	51	0	0	0	0	0	0	0	0	0	105
LOC17897403	gene-LOC17897403	XM_006305474.2	protein_coding	0	0	0	271	0	0	0	0	0	0	0	103	0	0	0	0	25	0	0	0	0	0	0	0	0	0	143
LOC17897403	gene-LOC17897403	XM_023788621.1	protein_coding	0	0	0	268	0	0	0	0	0	0	0	103	0	0	0	0	20	0	0	0	0	0	0	0	0	0	145
LOC17897412	gene-LOC17897412	XM_023777343.1	protein_coding	0	0	0	404	0	0	0	0	0	0	0	189	0	0	0	0	60	0	0	0	0	0	0	0	0	0	155
LOC17897412	gene-LOC17897412	XM_023777344.1	protein_coding	0	0	0	393	0	0	0	0	0	0	0	194	0	0	0	0	44	0	0	0	0	0	0	0	0	0	155
LOC17897438	gene-LOC17897438	XM_006303947.2	protein_coding	0	0	0	345	0	0	0	0	0	0	0	113	0	0	0	0	54	0	0	0	0	0	0	0	0	0	178
LOC17897442	gene-LOC17897442	XM_006305691.2	protein_coding	0	0	0	206	0	0	0	0	0	0	0	75	0	0	0	0	28	0	0	0	0	0	0	0	0	0	103
LOC17897443	gene-LOC17897443	XM_006307439.2	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
LOC17897447	gene-LOC17897447	XM_006304322.1	protein_coding	0	0	0	355	0	0	0	0	0	0	0	149	0	0	0	0	17	0	0	0	0	0	0	0	0	0	189
LOC17897452	gene-LOC17897452	XM_023789460.1	protein_coding	0	0	0	406	0	0	0	0	0	0	0	138	0	0	0	0	114	0	0	0	0	0	0	0	0	0	154
LOC17897452	gene-LOC17897452	XM_023789461.1	protein_coding	0	0	0	377	0	0	0	0	0	0	0	138	0	0	0	0	88	0	0	0	0	0	0	0	0	0	151
LOC17897452	gene-LOC17897452	XM_023789463.1	protein_coding	0	0	0	377	0	0	0	0	0	0	0	138	0	0	0	0	88	0	0	0	0	0	0	0	0	0	151
LOC17897452	gene-LOC17897452	XM_023789464.1	protein_coding	0	0	0	376	0	0	0	0	0	0	0	138	0	0	0	0	88	0	0	0	0	0	0	0	0	0	150
LOC17897452	gene-LOC17897452	XM_023789465.1	protein_coding	0	0	0	376	0	0	0	0	0	0	0	138	0	0	0	0	87	0	0	0	0	0	0	0	0	0	151
LOC17897477	gene-LOC17897477	XM_023789253.1	protein_coding	0	0	0	180	0	0	0	0	0	0	0	85	0	0	0	0	41	0	0	0	0	0	0	0	0	0	54
LOC17897478	gene-LOC17897478	XM_006306415.2	protein_coding	0	0	0	290	0	0	0	0	0	0	0	115	0	0	0	0	38	0	0	0	0	0	0	0	0	0	137
LOC17897483	gene-LOC17897483	XM_006305990.2	protein_coding	0	0	0	316	0	0	0	0	0	0	0	130	0	0	0	0	11	0	0	0	0	0	0	0	0	0	175
LOC17897484	gene-LOC17897484	XM_006305763.2	protein_coding	0	0	0	191	0	0	0	0	0	0	0	66	0	0	0	0	28	0	0	0	0	0	0	0	0	0	97
LOC17897502	gene-LOC17897502	XM_006306371.2	protein_coding	0	0	0	371	0	0	0	0	0	0	0	149	0	0	0	0	47	0	0	0	0	0	0	0	0	0	175
LOC17897525	gene-LOC17897525	XM_006303074.2	protein_coding	0	0	0	419	0	0	0	0	0	0	0	114	0	0	0	0	135	0	0	0	0	0	0	0	0	0	170
LOC17897558	gene-LOC17897558	XM_006303543.2	protein_coding	0	0	0	292	0	0	0	0	0	0	0	131	0	0	0	0	53	0	0	0	0	0	0	0	0	0	108
LOC17897566	gene-LOC17897566	XM_006303617.2	protein_coding	0	0	0	339	0	0	0	0	0	0	0	136	0	0	0	0	43	0	0	0	0	0	0	0	0	0	160
LOC17897567	gene-LOC17897567	XM_006305291.2	protein_coding	0	0	0	260	0	0	0	0	0	0	0	88	0	0	0	0	34	0	0	0	0	0	0	0	0	0	138
LOC17897567	gene-LOC17897567	XM_023777043.1	protein_coding	0	0	0	260	0	0	0	0	0	0	0	88	0	0	0	0	34	0	0	0	0	0	0	0	0	0	138
LOC17897588	gene-LOC17897588	XM_006304558.1	protein_coding	0	0	0	260	0	0	0	0	0	0	0	125	0	0	0	0	4	0	0	0	0	0	0	0	0	0	131
LOC17897623	gene-LOC17897623	XM_006303153.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
LOC17897631	gene-LOC17897631	XM_006307638.2	protein_coding	0	0	0	317	0	0	0	0	0	0	0	130	0	0	0	0	71	0	0	0	0	0	0	0	0	0	116
LOC17897631	gene-LOC17897631	XM_023777273.1	protein_coding	0	0	0	312	0	0	0	0	0	0	0	130	0	0	0	0	60	0	0	0	0	0	0	0	0	0	122
LOC17897631	gene-LOC17897631	XM_023777274.1	protein_coding	0	0	0	315	0	0	0	0	0	0	0	130	0	0	0	0	71	0	0	0	0	0	0	0	0	0	114
LOC17897635	gene-LOC17897635	XM_006304503.2	protein_coding	0	0	0	286	0	0	0	0	0	0	0	147	0	0	0	0	15	0	0	0	0	0	0	0	0	0	124
LOC17897640	gene-LOC17897640	XM_006305924.2	protein_coding	0	0	0	439	0	0	0	0	0	0	0	150	0	0	0	0	71	0	0	0	0	0	0	0	0	0	218
LOC17897654	gene-LOC17897654	XM_006305881.2	protein_coding	0	0	0	367	0	0	0	0	0	0	0	163	0	0	0	0	61	0	0	0	0	0	0	0	0	0	143
LOC17897664	gene-LOC17897664	XM_023777522.1	protein_coding	0	0	0	310	0	0	0	0	0	0	0	167	0	0	0	0	73	0	0	0	0	0	0	0	0	0	70
LOC17897664	gene-LOC17897664	XM_023777523.1	protein_coding	0	0	0	308	0	0	0	0	0	0	0	165	0	0	0	0	73	0	0	0	0	0	0	0	0	0	70
LOC17897680	gene-LOC17897680	XM_006304165.2	protein_coding	0	0	0	374	0	0	0	0	0	0	0	145	0	0	0	0	69	0	0	0	0	0	0	0	0	0	160
LOC17897681	gene-LOC17897681	XM_006304162.2	protein_coding	0	0	0	327	0	0	0	0	0	0	0	139	0	0	0	0	41	0	0	0	0	0	0	0	0	0	147
LOC17897683	gene-LOC17897683	XM_006306386.2	protein_coding	0	0	0	256	0	0	0	0	0	0	0	120	0	0	0	0	25	0	0	0	0	0	0	0	0	0	111
LOC17897684	gene-LOC17897684	XM_006303971.2	protein_coding	0	0	0	270	0	0	0	0	0	0	0	152	0	0	0	0	27	0	0	0	0	0	0	0	0	0	91
LOC17897688	gene-LOC17897688	XM_006307189.2	protein_coding	0	0	0	277	0	0	0	0	0	0	0	163	0	0	0	0	66	0	0	0	0	0	0	0	0	0	48
LOC17897692	gene-LOC17897692	XM_023777498.1	protein_coding	0	0	0	354	0	0	0	0	0	0	0	181	0	0	0	0	70	0	0	0	0	0	0	0	0	0	103
LOC17897692	gene-LOC17897692	XM_023777499.1	protein_coding	0	0	0	354	0	0	0	0	0	0	0	181	0	0	0	0	70	0	0	0	0	0	0	0	0	0	103
LOC17897702	gene-LOC17897702	XM_006307408.2	protein_coding	0	0	0	293	0	0	0	0	0	0	0	146	0	0	0	0	30	0	0	0	0	0	0	0	0	0	117
LOC17897702	gene-LOC17897702	XM_023789192.1	protein_coding	0	0	0	293	0	0	0	0	0	0	0	146	0	0	0	0	30	0	0	0	0	0	0	0	0	0	117
LOC17897702	gene-LOC17897702	XM_023789193.1	protein_coding	0	0	0	293	0	0	0	0	0	0	0	146	0	0	0	0	30	0	0	0	0	0	0	0	0	0	117
LOC17897726	gene-LOC17897726	XM_023790109.1	protein_coding	0	0	0	413	0	0	0	0	0	0	0	195	0	0	0	0	81	0	0	0	0	0	0	0	0	0	137
LOC17897731	gene-LOC17897731	XM_006304026.2	protein_coding	0	0	0	436	0	0	0	0	0	0	0	175	0	0	0	0	68	0	0	0	0	0	0	0	0	0	193
LOC17897731	gene-LOC17897731	XM_006304027.2	protein_coding	0	0	0	436	0	0	0	0	0	0	0	175	0	0	0	0	68	0	0	0	0	0	0	0	0	0	193
LOC17897749	gene-LOC17897749	XM_006303214.2	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17897780	gene-LOC17897780	XM_006305397.2	protein_coding	0	0	0	361	0	0	0	0	0	0	0	136	0	0	0	0	44	0	0	0	0	0	0	0	0	0	181
LOC17897789	gene-LOC17897789	XM_006303898.2	protein_coding	0	0	0	356	0	0	0	0	0	0	0	124	0	0	0	0	97	0	0	0	0	0	0	0	0	0	135
LOC17897808	gene-LOC17897808	XM_006303964.2	protein_coding	0	0	0	304	0	0	0	0	0	0	0	116	0	0	0	0	52	0	0	0	0	0	0	0	0	0	136
LOC17897817	gene-LOC17897817	XM_006303657.2	protein_coding	0	0	0	378	0	0	0	0	0	0	0	201	0	0	0	0	54	0	0	0	0	0	0	0	0	0	123
LOC17897851	gene-LOC17897851	XM_006307066.2	protein_coding	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17897861	gene-LOC17897861	XM_023789322.1	protein_coding	0	0	0	385	0	0	0	0	0	0	0	179	0	0	0	0	70	0	0	0	0	0	0	0	0	0	136
LOC17897869	gene-LOC17897869	XM_006304578.2	protein_coding	0	0	0	224	0	0	0	0	0	0	0	93	0	0	0	0	26	0	0	0	0	0	0	0	0	0	105
LOC17897869	gene-LOC17897869	XR_002835459.1		0	0	0	257	0	0	0	0	0	0	0	93	0	0	0	0	43	0	0	0	0	0	0	0	0	0	121
LOC17897869	gene-LOC17897869	XR_002835460.1		0	0	0	303	0	0	0	0	0	0	0	93	0	0	0	0	61	0	0	0	0	0	0	0	0	0	149
LOC17897872	gene-LOC17897872	XM_006305967.2	protein_coding	0	0	0	106	0	0	0	0	0	0	0	76	0	0	0	0	9	0	0	0	0	0	0	0	0	0	21
LOC17897873	gene-LOC17897873	XM_006305014.2	protein_coding	0	0	0	287	0	0	0	0	0	0	0	102	0	0	0	0	50	0	0	0	0	0	0	0	0	0	135
LOC17897877	gene-LOC17897877	XM_023790180.1	protein_coding	0	0	0	420	0	0	0	0	0	0	0	222	0	0	0	0	50	0	0	0	0	0	0	0	0	0	148
LOC17897958	gene-LOC17897958	XM_006304672.2	protein_coding	0	0	0	198	0	0	0	0	0	0	0	115	0	0	0	0	33	0	0	0	0	0	0	0	0	0	50
LOC17897987	gene-LOC17897987	XM_023789648.1	protein_coding	0	0	0	255	0	0	0	0	0	0	0	104	0	0	0	0	35	0	0	0	0	0	0	0	0	0	116
LOC17898017	gene-LOC17898017	XM_023776994.1	protein_coding	0	0	0	441	0	0	0	0	0	0	0	170	0	0	0	0	171	0	0	0	0	0	0	0	0	0	100
LOC17898017	gene-LOC17898017	XM_023776995.1	protein_coding	0	0	0	386	0	0	0	0	0	0	0	153	0	0	0	0	133	0	0	0	0	0	0	0	0	0	100
LOC17898017	gene-LOC17898017	XM_023776996.1	protein_coding	0	0	0	441	0	0	0	0	0	0	0	170	0	0	0	0	171	0	0	0	0	0	0	0	0	0	100
LOC17898017	gene-LOC17898017	XM_023776997.1	protein_coding	0	0	0	441	0	0	0	0	0	0	0	170	0	0	0	0	171	0	0	0	0	0	0	0	0	0	100
LOC17898024	gene-LOC17898024	XM_006303752.2	protein_coding	0	0	0	198	0	0	0	0	0	0	0	23	0	0	0	0	26	0	0	0	0	0	0	0	0	0	149
LOC17898024	gene-LOC17898024	XM_023789905.1	protein_coding	0	0	0	204	0	0	0	0	0	0	0	23	0	0	0	0	34	0	0	0	0	0	0	0	0	0	147
LOC17898036	gene-LOC17898036	XM_006304224.2	protein_coding	0	0	0	255	0	0	0	0	0	0	0	121	0	0	0	0	41	0	0	0	0	0	0	0	0	0	93
LOC17898043	gene-LOC17898043	XM_023789197.1	protein_coding	0	0	0	287	0	0	0	0	0	0	0	129	0	0	0	0	72	0	0	0	0	0	0	0	0	0	86
LOC17898069	gene-LOC17898069	XM_006303614.2	protein_coding	0	0	0	321	0	0	0	0	0	0	0	128	0	0	0	0	73	0	0	0	0	0	0	0	0	0	120
LOC17898072	gene-LOC17898072	XM_006306619.2	protein_coding	0	0	0	344	0	0	0	0	0	0	0	129	0	0	0	0	91	0	0	0	0	0	0	0	0	0	124
LOC17898073	gene-LOC17898073	XM_006304033.2	protein_coding	0	0	0	228	0	0	0	0	0	0	0	118	0	0	0	0	23	0	0	0	0	0	0	0	0	0	87
LOC17898103	gene-LOC17898103	XM_006304954.2	protein_coding	0	0	0	334	0	0	0	0	0	0	0	136	0	0	0	0	59	0	0	0	0	0	0	0	0	0	139
LOC17898104	gene-LOC17898104	XM_006306592.2	protein_coding	0	0	0	339	0	0	0	0	0	0	0	113	0	0	0	0	34	0	0	0	0	0	0	0	0	0	192
LOC17898104	gene-LOC17898104	XM_023777497.1	protein_coding	0	0	0	339	0	0	0	0	0	0	0	113	0	0	0	0	34	0	0	0	0	0	0	0	0	0	192
LOC17898105	gene-LOC17898105	XM_006303396.2	protein_coding	0	0	0	380	0	0	0	0	0	0	0	194	0	0	0	0	70	0	0	0	0	0	0	0	0	0	116
LOC17898105	gene-LOC17898105	XM_023790053.1	protein_coding	0	0	0	380	0	0	0	0	0	0	0	194	0	0	0	0	70	0	0	0	0	0	0	0	0	0	116
LOC17898155	gene-LOC17898155	XM_006307387.2	protein_coding	0	0	0	257	0	0	0	0	0	0	0	79	0	0	0	0	36	0	0	0	0	0	0	0	0	0	142
LOC17898162	gene-LOC17898162	XM_006304060.2	protein_coding	0	0	0	173	0	0	0	0	0	0	0	50	0	0	0	0	9	0	0	0	0	0	0	0	0	0	114
LOC17898178	gene-LOC17898178	XM_006305385.2	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC17898184	gene-LOC17898184	XM_023789373.1	protein_coding	0	0	0	349	0	0	0	0	0	0	0	112	0	0	0	0	50	0	0	0	0	0	0	0	0	0	187
LOC17898184	gene-LOC17898184	XM_023789374.1	protein_coding	0	0	0	349	0	0	0	0	0	0	0	112	0	0	0	0	50	0	0	0	0	0	0	0	0	0	187
LOC17898207	gene-LOC17898207	XM_023789486.1	protein_coding	0	0	0	408	0	0	0	0	0	0	0	233	0	0	0	0	28	0	0	0	0	0	0	0	0	0	147
LOC17898207	gene-LOC17898207	XM_023789487.1	protein_coding	0	0	0	408	0	0	0	0	0	0	0	233	0	0	0	0	28	0	0	0	0	0	0	0	0	0	147
LOC17898214	gene-LOC17898214	XM_023789230.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789231.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789232.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789233.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789234.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789235.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789236.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898214	gene-LOC17898214	XM_023789237.1	protein_coding	0	0	0	369	0	0	0	0	0	0	0	180	0	0	0	0	46	0	0	0	0	0	0	0	0	0	143
LOC17898215	gene-LOC17898215	XM_023789214.1	protein_coding	0	0	0	341	0	0	0	0	0	0	0	166	0	0	0	0	49	0	0	0	0	0	0	0	0	0	126
LOC17898219	gene-LOC17898219	XM_023789969.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789970.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789971.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789972.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789973.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789974.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789975.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789976.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789977.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789978.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789979.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
LOC17898219	gene-LOC17898219	XM_023789980.1	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
